T,h_hat,h_f,g_hat,cp_hat
200,-240838,-3227,-232779,32.255
298,-241845,0,-228608,33.448
300,-241865,62,-228526,33.468
400,-242858,3458,-223929,34.437
500,-243822,6947,-219085,35.337
600,-244753,10528,-214049,36.288
700,-245638,14209,-208861,37.364
800,-246461,18005,-203550,38.587
900,-247209,21930,-198141,39.93
1000,-247879,25993,-192652,41.315
1100,-248475,30191,-187100,42.638
1200,-249005,34518,-181497,43.874
1300,-249477,38963,-175852,45.027
1400,-249895,43520,-170172,46.102
1500,-250267,48181,-164464,47.103
1600,-250597,52939,-158733,48.035
1700,-250890,57786,-152983,48.901
1800,-251151,62717,-147216,49.705
1900,-251384,67725,-141435,50.451
2000,-251594,72805,-135643,51.143
2100,-251783,77952,-129841,51.784
2200,-251955,83160,-124030,52.378
2300,-252113,88426,-118211,52.927
2400,-252261,93744,-112386,53.435
2500,-252399,99112,-106555,53.905
2600,-252532,104524,-100719,54.34
2700,-252659,109979,-94878,54.742
2800,-252785,115472,-89031,55.115
2900,-252909,121001,-83181,55.459
3000,-253034,126563,-77326,55.779
3100,-253161,132156,-71467,56.076
3200,-253290,137777,-65604,56.353
3300,-253423,143426,-59737,56.61
3400,-253561,149099,-53865,56.851
3500,-253704,154795,-47990,57.076
3600,-253852,160514,-42110,57.288
3700,-254007,166252,-36226,57.488
3800,-254169,172011,-30338,57.676
3900,-254338,177787,-24446,57.856
4000,-254515,183582,-18549,58.026
4100,-254699,189392,-12648,58.19
4200,-254892,195219,-6742,58.346
4300,-255093,201061,-831,58.496
4400,-255303,206918,5085,58.641
4500,-255522,212790,11005,58.781
4600,-255751,218674,16930,58.916
4700,-255990,224573,22861,59.047
4800,-256239,230484,28796,59.173
4900,-256501,236407,34737,59.295
5000,-256774,242343,40684,59.412
